Past
Level 1
Blossoms	T2Kazuya	1.0
Fairytale	chitose	1.0
Harutopia ~Utopia of Spring~	A-zu-ra	1.0
Kanagawa Cyber Culvert	南ゆに	1.0
Paradise	Sound Souler	1.0
Romance Wars	U-ske (feat. lueur)	1.0
Dream goes on	Tiny Minim	1.5
dropdead	Frums	1.5
Infinity Heaven	HyuN	1.5
Moonlight of Sand Castle	旅人E	1.5
Sayonara Hatsukoi	REDSHiFT	1.5
Level 2
Antithese	Blacklolita	2.0
Brand new world	U-ske	2.0
Clotho and the stargazer	しーけー	2.0
Evoltex (poppi'n mix)	Arch vs n3pu	2.0
Genesis	Iris	2.0
Illegal Paradise	gmtn. (witch's slave)	2.0
Impure Bird	MIssionary	2.0
inkar-usi	DIA	2.0
Suomi	Aire	2.0
Anökumene	Jun Kuroda	2.5
Dandelion	Farhan	2.5
Diode	Kolaa	2.5
Flashback	ARForest	2.5
Grimheart	Puru	2.5
Hikari	THB	2.5
Linear Accelerator	THE SHAFT	2.5
memoryfactory.lzh	Frums	2.5
Moonheart	翡乃イスカ	2.5
Nirv lucE	しーけー	2.5
One Last Drive	REDSHiFT	2.5
Purgatorium	お月さま交響曲	2.5
Rabbit In The Black Room	Rabbit House	2.5
REconstruction	Ryazan	2.5
Reinvent	Sound Souler	2.5
Rise	Combatplayer	2.5
Silent Rush	Soleily	2.5
Snow White	Puru	2.5
Strongholds	Yooh	2.5
Vexaria	ak+q	2.5
World Vanquisher	void (Mournfinale)	2.5
Lumia	sky_delta	3.0
Level 3
Babaroque	cYsmix	3.0
Black Territory	DJ Myosuke	3.0
Chelsea	7mai	3.0
Corruption	3R2	3.0
DataErr0r	Lunatic Sounds	3.0
Dot to Dot feat. shully	Mameyudoufu	3.0
DX Choseinou Full Metal Shojo	IOSYS TRAX (uno with.ちよこ)	3.0
Fallensquare	Silentroom	3.0
Flyburg and Endroll	アリスシャッハと魔法の楽団	3.0
Hall of Mirrors	Sta	3.0
Journey	ARForest	3.0
Maze No.9	アリスシャッハと魔法の楽団	3.0
MERLIN	REDALiCE	3.0
Metallic Punisher	INNOCENT NOIZE	3.0
Nhelv	Silentroom	3.0
OMAKENO Stroke	t+pazolite	3.0
Oracle	TQ☆	3.0
ReviXy	ikaruga_nex	3.0
Rugie	Feryquitous feat.Sennzai	3.0
Senkyou	MYTK	3.0
Shades of Light in a Transcendent Realm	ak+q	3.0
STAGER (ALL STAGE CLEAR)	Ras	3.0
SUPERNOVA	BACO	3.0
Surrender	void	3.0
The Message	Jun Kuroda	3.0
Tie me down gently	溝口ゆうま feat. 大瀬良あい	3.0
trappola bewitching	gmtn.	3.0
VECTOЯ	WHITEFISTS	3.0
A Wandering Melody of Love	からとP⍺ոchii少年 feat.はるの	3.5
AI[UE]OON	MYUKKE.	3.5
Auxesia	ginkiha	3.5
Avant Raze	Sampling Masters MEGA	3.5
Call My Name feat. Yukacco	Mameyudoufu	3.5
Chronostasis	黒皇帝	3.5
cry of viyella	Laur	3.5
Dement ~after legend~	Lunatic Sounds	3.5
Empire of Winter	Street	3.5
I've heard it said	Combatplayer	3.5
Ignotus	ak+q	3.5
Ikazuchi	光吉猛修	3.5
Lethaeus	Silentroom	3.5
Libertas	Zekk	3.5
Lucifer	chitose	3.5
LunarOrbit -believe in the Espebranch road-	Apo11o program ft. 大瀬良あい	3.5
Memory Forest	ETIA.	3.5
Modelista	HiTECH NINJA	3.5
Particle Arts	Virtual Self	3.5
SOUNDWiTCH	HATE	3.5
Specta	Junk	3.5
Syro	Mitomoro	3.5
Your voice so... feat. Such	PSYQUI	3.5
Heavenly caress	Noah	3.5
Level 4
GOODTEK (Arcaea Edit)	EBIMAYO	3.5
Be There	PSYQUI	4.0
Blaster	Massive New Krew	4.0
carmine:scythe	かゆき	4.0
CROSS†SOUL	HyuN feat. Syepias	4.0
cyanine	jioyi	4.0
Cybernecia Catharsis	Tanchiky	4.0
Dreadnought	Mastermind (xi + nora2r)	4.0
FREEF4LL	YUKIYANAGI	4.0
Iconoclast	Yamajet	4.0
Lost Civilization	Laur vs CK	4.0
Mirzam	Aoi vs. siqlo	4.0
Party Vinyl	モリモリあつし	4.0
Phantasia	Yunosuke	4.0
Quon	Feryquitous	4.0
Red and Blue	Silentroom	4.0
Scarlet Lance	MASAKI (ZUNTATA)	4.0
Solitary Dream	ak+q feat. Sennzai	4.0
Sulfur	ぺのれり	4.0
Vicious Heroism	Kobaryo	4.0
Vindication	Laur	4.0
αterlβus	Aoi	4.0
γuarδina	Aoi	4.0
FREEF4LL	YUKIYANAGI	4.0
Alexandrite	WAiKURO	4.5
Astral tale	Noah	4.5
Bookmaker (2D Version)	Kobaryo	4.5
conflict	siromaru + cranky	4.5
Dreamin' Attraction!!	翡乃イスカ	4.5
Essence of Twilight	ak+q	4.5
Filament	Puru	4.5
Garakuta Doll Play	t+pazolite	4.5
GLORY：ROAD	uma vs. モリモリあつし	4.5
Heavensdoor	LeaF	4.5
next to you	uma feat. 橘花音	4.5
ouroboros -twin stroke of the end-	Cranky VS MASAKI	4.5
PRAGMATISM	Laur	4.5
Relentless	Akira Complex	4.5
Singularity	ETIA.	4.5
Tiferet	xi + Sta	4.5
Valhalla:0	Juggernaut.	4.5
Yosakura Fubuki	A.SAKA	4.5
Monochrome Princess	polysha	4.5
Level 5
qualia -ideaesthesia-	nitro	4.5
Axium Crisis	ak+q	5.5
Cyaegha	USAO	5.5
Ether Strike	Akira Complex	5.5
Halcyon	xi	5.5
Ringed Genesis	Edelritter	5.5
Sheriruth	Team Grimoire	5.5
Level 6
Fracture Ray	Sakuzyo	6.0
Grievous Lady	Team Grimoire vs Laur	6.5

Present
Level 3
Fairytale	chitose	3.5
Maze No.9	アリスシャッハと魔法の楽団	3.5
Level 4
Blossoms	T2Kazuya	4.0
Brand new world	U-ske	4.0
inkar-usi	DIA	4.0
Paradise	Sound Souler	4.0
Rise	Combatplayer	4.0
Romance Wars	U-ske (feat. lueur)	4.0
Harutopia ~Utopia of Spring~	A-zu-ra	4.5
Sayonara Hatsukoi	REDSHiFT	4.5
Level 5
Antithese	Blacklolita	5.0
Clotho and the stargazer	しーけー	5.0
Dream goes on	Tiny Minim	5.0
Flashback	ARForest	5.0
Grimheart	Puru	5.0
Moonlight of Sand Castle	旅人E	5.0
Silent Rush	Soleily	5.0
Snow White	Puru	5.0
Strongholds	Yooh	5.0
Suomi	Aire	5.0
Vexaria	ak+q	5.0
Diode	Kolaa	5.5
Genesis	Iris	5.5
Hall of Mirrors	Sta	5.5
Impure Bird	MIssionary	5.5
Infinity Heaven	HyuN	5.5
Kanagawa Cyber Culvert	南ゆに	5.5
Libertas	Zekk	5.5
Lucifer	chitose	5.5
memoryfactory.lzh	Frums	5.5
MERLIN	REDALiCE	5.5
Moonheart	翡乃イスカ	5.5
One Last Drive	REDSHiFT	5.5
Oracle	TQ☆	5.5
Phantasia	Yunosuke	5.5
Rabbit In The Black Room	Rabbit House	5.5
Senkyou	MYTK	5.5
Tie me down gently	溝口ゆうま feat. 大瀬良あい	5.5
World Vanquisher	void (Mournfinale)	5.5
Level 6
Dandelion	Farhan	5.5
Call My Name feat. Yukacco	Mameyudoufu	6.0
Chelsea	7mai	6.0
cry of viyella	Laur	6.0
Dement ~after legend~	Lunatic Sounds	6.0
Dot to Dot feat. shully	Mameyudoufu	6.0
DX Choseinou Full Metal Shojo	IOSYS TRAX (uno with.ちよこ)	6.0
Flyburg and Endroll	アリスシャッハと魔法の楽団	6.0
Hikari	THB	6.0
I've heard it said	Combatplayer	6.0
Journey	ARForest	6.0
LunarOrbit -believe in the Espebranch road-	Apo11o program ft. 大瀬良あい	6.0
Memory Forest	ETIA.	6.0
Particle Arts	Virtual Self	6.0
Purgatorium	お月さま交響曲	6.0
REconstruction	Ryazan	6.0
ReviXy	ikaruga_nex	6.0
Rugie	Feryquitous feat.Sennzai	6.0
Shades of Light in a Transcendent Realm	ak+q	6.0
Sulfur	ぺのれり	6.0
SUPERNOVA	BACO	6.0
trappola bewitching	gmtn.	6.0
AI[UE]OON	MYUKKE.	6.5
Anökumene	Jun Kuroda	6.5
Auxesia	ginkiha	6.5
Avant Raze	Sampling Masters MEGA	6.5
