2020-01-04                        tibyandy | FTR
                A Wandering Melody of Love | 
                                  αterlβus | 
                                 AI[UE]OON | 
                               Alexandrite | 
                                 Anökumene | 8895
                                 Antithese | 
                               Astral tale | 
                                   Auxesia | 8805
                                Avant Raze | 8374
                              Axium Crisis |
                                 Babaroque | 9734
                                  Be There | 
                           Black Territory | 
                                   Blaster | 8867
                                  Blossoms | 
                    Bookmaker (2D Version) | 9916
                           Brand new world | 9879
                Call My Name feat. Yukacco | 
                            carmine:scythe | 7587
                                   Chelsea | 
                              Chronostasis | 9230
                  Clotho and the stargazer | 9971
                                  conflict | 
                                Corruption | 
                                CROSS†SOUL | 
                            cry of viyella | 9785
                                   Cyaegha | 
                                   cyanine | 
                      Cybernecia Catharsis | 8013
                                 Dandelion | 9729
                                 DataErr0r | 
                     Dement ~after legend~ | 9913
                                     Diode | 9640
                   Dot to Dot feat. shully | 
                               Dreadnought | 
                             Dream goes on | 
                     Dreamin' Attraction!! | 8844
                                  dropdead | 
             DX Choseinou Full Metal Shojo | 
                          Empire of Winter | 9620
                       Essence of Twilight | 9427
                              Ether Strike | 
                     Evoltex (poppi'n mix) | 
                                 Fairytale | 9923
                              Fallensquare | 
                                  Filament | 
                                 Flashback | 
                       Flyburg and Endroll | 
                              Fracture Ray | 
                                  FREEF4LL | 9497
                        Garakuta Doll Play | 6797
                                   Genesis | 
                               GLORY：ROAD | 
                     GOODTEK (Arcaea Edit) | 9179
                             Grievous Lady | 
                                 Grimheart | 9552
                                   Halcyon | 
                           Hall of Mirrors | 
              Harutopia ~Utopia of Spring~ | 9614
                           Heavenly caress | 
                               Heavensdoor | 
                                    Hikari | 
                        I've heard it said | 9850
                                Iconoclast | 
                                   Ignotus | 8870
                                  Ikazuchi | 6645
                          Illegal Paradise | 8747
                               Impure Bird | 
                           Infinity Heaven | 9930
                                 inkar-usi | 9914
                                   Journey | 
                    Kanagawa Cyber Culvert | 9663
                                  Lethaeus | 
                                  Libertas | 
                        Linear Accelerator | 
                         Lost Civilization | 9118
                                   Lucifer | 9907
                                     Lumia | 9808
 LunarOrbit -believe in the Espebranch road- | 7651
                                 Maze No.9 | 
                             Memory Forest | 
                         memoryfactory.lzh | 9784
                                    MERLIN | 
                         Metallic Punisher | 7096
                                    Mirzam | 
                                 Modelista | 
                       Monochrome Princess | 7079
                                 Moonheart | 
                  Moonlight of Sand Castle | 
                               next to you | 
                                     Nhelv | 7554
                                 Nirv lucE | 
                            OMAKENO Stroke | 
                            One Last Drive | 9972
                                    Oracle | 
        ouroboros -twin stroke of the end- | 
                                  Paradise | 
                             Particle Arts | 
                               Party Vinyl | 
                                 Phantasia | 
                                PRAGMATISM | 7197
                               Purgatorium | 9715
                     qualia -ideaesthesia- | 9433
                                      Quon | 
                  Rabbit In The Black Room | 9838
                            REconstruction | 
                              Red and Blue | 8870
                                  Reinvent | 9730
                                Relentless | 9872
                                    ReviXy | 9303
                            Ringed Genesis | 
                                      Rise | 9962
                              Romance Wars | 
                                     Rugie | 9082
                         Sayonara Hatsukoi | 9970
                             Scarlet Lance | 
                                   Senkyou | 9450
   Shades of Light in a Transcendent Realm | 9944
                                 Sheriruth | 7446
                               Silent Rush | 
                               Singularity | 
                                Snow White | 9806
                            Solitary Dream | 9594
                                SOUNDWiTCH | 
                                    Specta | 
                  STAGER (ALL STAGE CLEAR) | 
                               Strongholds | 
                                    Sulfur | 
                                     Suomi | 9921
                                 SUPERNOVA | 7609
                                 Surrender | 
                                      Syro | 9153
                               The Message | 
                        Tie me down gently | 
                                   Tiferet | 
                       trappola bewitching | 
                                Valhalla:0 | 
                                    VECTOЯ | 8053
                                   Vexaria | 9925
                           Vicious Heroism | 
                               Vindication | 
                          World Vanquisher | 
                           Yosakura Fubuki | 
               Your voice so... feat. Such | 
                                  γuarδina | 
